artist,song
Rage Against the Machine,Killing in the Name
The Lemonheads,It's a Shame About Ray
Beck,Loser
The Breeders,Cannonball
Nirvana,Scentless Apprentice
Hole,Violet
The Smashing Pumpkins,1979
Green Day,Longview
Weezer,Say It Ain't So
Blur,Girls & Boys
Oasis,Live Forever
Pulp,Common People
The Notorious B.I.G.,Juicy
Nas,It Ain't Hard to Tell
Mobb Deep,Shook Ones (Part II)
GZA,4th Chamber
Pavement,Gold Soundz
Built to Spill,Car
Modest Mouse,Broke
Frank Black,Headache
The Jon Spencer Blues Explosion,Bellbottoms
Guided by Voices,I Am a Scientist
Nine Inch Nails,Closer
Björk,Hyperballad
Beck,Devils Haircut
Portishead,Sour Times
Saint Etienne,Like a Motorway
Basic Channel,Octagon
Paperclip People,Throw
DJ Shadow,Midnight in a Perfect World
Dr. Octagon,Blue Flowers
Common,I Used to Love H.E.R.
Jeff Buckley,Grace
Mazzy Star,Fade into You
Arthur Russell,This Is How We Walk on the Moon
Low,Words
The Auteurs,Unsolved Child Murder
Jawbox,Savory
Drive Like Jehu,Luau
Brainiac,Pussyfootin'
Napalm Death,Twist the Knife (Slowly)
Darkthrone,En ås i dype skogen
Ol' Dirty Bastard,Brooklyn Zoo
Snoop Doggy Dogg,Gin and Juice
Luniz,I Got 5 on It
Cutty Ranks,Limb by Limb
The Prodigy,No Good (Start the Dance)
Underworld,Born Slippy .NUXX
The Chemical Brothers,Setting Sun
Daft Punk,Da Funk
Belle and Sebastian,The State I Am In
Elliott Smith,Needle in the Hay
The Magnetic Fields,Take Ecstasy with Me
Palace Music,New Partner
Arab Strap,The First Big Weekend
Tortoise,Gamera
The Sea and Cake,Parasol
Pavement,Rattled by the Rush
Guided by Voices,Game of Pricks
Weezer,El Scorcho
Radiohead,Paranoid Android
Björk,Jóga
The Verve,Bitter Sweet Symphony
Elliott Smith,Between the Bars
Cat Power,Cross Bones Style
The Clientele,Reflections After Jane
"Bonnie ""Prince"" Billy",I See a Darkness
Smog,Teenage Spaceship
Silver Jews,Random Rules
Autechre,Arch Carrier
Boards of Canada,Happy Cycling
Herbert,So Now
Aphex Twin,Windowlicker
Uilab,St. Elmo's Fire
Air,Le soleil est près de moi
Massive Attack,Teardrop
Black Star,Respiration
The Notorious B.I.G.,Hypnotize
OutKast,Spottieottiedopaliscious
The Roots,The Next Movement
The Flaming Lips,Waitin' for a Superman
The Beta Band,Dry the Rain
The Olivia Tremor Control,Hideway
Neutral Milk Hotel,"Holland, 1945"
Super Furry Animals,Ice Hockey Hair
Stardust,Music Sounds Better with You
Basement Jaxx,Jump n' Shout
Wilco,Via Chicago
Pulp,This Is Hardcore
Belle and Sebastian,Lazy Line Painter Jane
Yo La Tengo,Autumn Sweater
Sleater-Kinney,One More Hour
Refused,New Noise
The Dismemberment Plan,The City
Boredoms,Super Shine
Mogwai,Like Herod
Jim O'Rourke,Halfway to a Threeway
Sigur Rós,Svefn-g-englar
Daft Punk,One More Time
Radiohead,Idioteque
Godspeed You! Black Emperor,Storm
The Avalanches,Since I Left You
Broadcast,Come On Let's Go
Aaliyah,Try Again
Justin Timberlake,Cry Me a River
Luomo,Tessio
Vitalic,La Rock 01
Kylie Minogue,Love at First Sight
Jay-Z,Big Pimpin'
Outkast,B.O.B
Eminem,The Real Slim Shady
Ghostface Killah,Nutmeg
Missy Elliott,Get Ur Freak On
The White Stripes,Dead Leaves and the Dirty Ground
The Strokes,The Modern Age
...And You Will Know Us by the Trail of Dead,Another Morning Stoner
Interpol,Obstacle 1
Electric Six,Danger! High Voltage
Golden Boy with Miss Kittin,Rippin Kittin
Jürgen Paape,So Weit Wie Noch Nie
Osymyso,Intro-Inspection
The Knife,Heartbeats
LCD Soundsystem,Losing My Edge
The Rapture,House of Jealous Lovers
The Streets,Weak Become Heroes
Aesop Rock,Daylight
RJD2,Good Times Roll Pt. 2
Bright Eyes,The Calendar Hung Itself...
Wilco,Poor Places
Queens of the Stone Age,No One Knows
My Morning Jacket,The Way That He Sings
Modest Mouse,3rd Planet
Clinic,Distortions
Shellac,Prayer to God
Mclusky,To Hell with Good Intentions
Lightning Bolt,Ride the Sky
The Microphones,The Moon
The New Pornographers,Letter from an Occupant
The Shins,New Slang
The Decemberists,Here I Dreamt I Was an Architect
Radiohead,Life in a Glasshouse
Broken Social Scene,Cause = Time
Deerhoof,This Magnificent Bird Will Rise
Spoon,The Way We Get By
Dizzee Rascal,I Luv U
M.O.P.,Ante Up
Clipse,Grindin'
Talib Kweli,Get By
Jay-Z,Takeover
Outkast,Hey Ya!
Kanye West,Through the Wire
R. Kelly,Ignition (Remix)
Beyoncé,Crazy in Love
Gnarls Barkley,Crazy
!!!,Me and Giuliani Down by the School Yard (A True Story)
TV on the Radio,Staring at the Sun
Yeah Yeah Yeahs,Maps
The Walkmen,The Rat
Devendra Banhart,A Sight to Behold
Joanna Newsom,"Peach, Plum, Pear"
Sufjan Stevens,Casimir Pulaski Day
Antony and the Johnsons,Hope There's Someone
Animal Collective,Leaf House
The Books,Take Time
M83,Don't Save Us from the Flames
The Postal Service,Such Great Heights
Annie,Heartbeat
M.I.A.,Galang
The White Stripes,Seven Nation Army
Franz Ferdinand,Take Me Out
The Fiery Furnaces,Here Comes the Summer
The Mountain Goats,No Children
The Wrens,She Sends Kisses
Les Savy Fav,The Sweat Descends
Ted Leo and the Pharmacists,Where Have All the Rude Boys Gone?
The Exploding Hearts,Modern Kicks
Art Brut,Formed a Band
Boris,Farewell
Mastodon,Sleeping Giant
Madvillain,America's Most Blunted
T.I.,What You Know
Kelly Clarkson,Since U Been Gone
Amerie,1 Thing
Ciara,Oh
The Go! Team,The Power Is On
Feist,Mushaboom
Arcade Fire,Neighborhood #1 (Tunnels)
Wolf Parade,I'll Believe in Anything
Band of Horses,The Funeral
The Hold Steady,Stuck Between Stations
Beirut,Postcards from Italy
Johnny Boy,You Are the Generation That Bought More Shoes and You Get What You Deserve
Love Is All,Busy Doing Nothing
Jens Lekman,Black Cab
Christian Falk,Dream On
Peter Bjorn and John,Young Folks
Justice vs. Simian,We Are Your Friends
Hot Chip,Boy from School
Animal Collective,Grass
Black Dice,Cone Toaster
Liars,The Other Side of Mt. Heart Attack
Panda Bear,Bros
