artists,songs
Martha and the Vandellas,(Love Is Like a) Heat Wave
Curtis Mayfield,Superfly
M.C. Hammer,U Can't Touch This
Paul McCartney,Maybe I'm Amazed
Barry McGuire,Eve of Destruction
Don McLean,American Pie
Blind Willie McTell,Statesboro Blues
John Cougar Mellencamp,Authority Song
Metallica,Enter Sandman
Midnight Oil,Beds Are Burning
Amos Milburn,Let's Have a Party
Steve Miller Band,Fly Like an Eagle
The Miracles,Going to a Go-Go
The Miracles,The Tracks of My Tears
The Miracles,You've Really Got a Hold on Me
Joni Mitchell,Help Me
Moby Grape,Omaha
The Monkees,I'm a Believer
The Monkees,Last Train to Clarksville
The Monotones,Book of Love
Bill Monroe,Mule Skinner Blues
The Moody Blues,Nights in White Satin
The Moonglows,Sincerely
Van Morrison,Brown Eyed Girl
Van Morrison,Madame George
Van Morrison,Moondance
The Mothers of Invention,Brown Shoes Don't Make It
Mott the Hoople,All the Young Dudes
Ricky Nelson,Hello Mary Lou
Aaron Neville,Tell It Like It Is
New York Dolls,Personality Crisis
Randy Newman,Sail Away
Nirvana,Smells Like Teen Spirit
O'Jays,Love Train
Phil Ochs,I Ain't Marchin' Anymore
Roy Orbison,"Oh, Pretty Woman"
The Orioles,Crying in the Chapel
Johnny Otis,Willie and the Hand Jive
Parliament,Give Up the Funk (Tear the Roof off the Sucker)
Les Paul and Mary Ford,How High the Moon
Pearl Jam,Jeremy
The Penguins,Earth Angel (Will You Be Mine)
Carl Perkins,Blue Suede Shoes
Carl Perkins,Matchbox
Pinetop Perkins,Pinetop's Boogie Woogie
Peter and Gordon,A World Without Love
"Peter, Paul and Mary",If I Had a Hammer (The Hammer Song)
Tom Petty and the Heartbreakers,American Girl
Wilson Pickett,In the Midnight Hour
Pink Floyd,"Another Brick in the Wall, Part 2"
Pink Floyd,Money
Pink Floyd,See Emily Play
The Platters,The Great Pretender
The Police,Every Breath You Take
The Police,Roxanne
Elvis Presley,Heartbreak Hotel
Elvis Presley,Jailhouse Rock
Elvis Presley,Love Me Tender
Elvis Presley,Mystery Train
Elvis Presley,Suspicious Minds
Elvis Presley,That's All Right
The Pretenders,Brass in Pocket
Lloyd Price,Lawdy Miss Clawdy
Prince,Little Red Corvette
Prince,When Doves Cry
Procol Harum,A Whiter Shade of Pale
Public Enemy,Fight the Power
Queen,Bohemian Rhapsody
Queen Latifah,Ladies First
Question Mark and the Mysterians,96 Tears
Quicksilver Messenger Service,Who Do You Love
R.E.M.,Losing My Religion
R.E.M.,Radio Free Europe
Ma Rainey and Her Tub Jug Washboard Band,Prove It on Me Blues
Bonnie Raitt,Something to Talk About
Ramones,Sheena Is a Punk Rocker
The Young Rascals,Groovin'
The Young Rascals,Good Lovin'
Red Hot Chili Peppers,Give It Away
Otis Redding,Shake
Otis Redding,(Sittin' on) The Dock of the Bay
Otis Redding,Try a Little Tenderness
Jimmy Reed,Big Boss Man
Jimmy Reed,"Bright Lights, Big City"
Lou Reed,Walk on the Wild Side
The Replacements,I Will Dare
Paul Revere and The Raiders,Just Like Me
Cliff Richard and the Shadows,Move It
Little Richard,"Good Golly, Miss Molly"
Little Richard,Long Tall Sally
Little Richard,Tutti Frutti
The Righteous Brothers,You've Lost That Lovin' Feelin'
Billy Riley and His Little Green Men,Red Hot
Jimmie Rodgers,Blue Yodel No. 9
The Rolling Stones,Honky Tonk Women
The Rolling Stones,(I Can't Get No) Satisfaction
The Rolling Stones,Jumpin' Jack Flash
The Rolling Stones,Miss You
The Rolling Stones,Sympathy for the Devil
The Rolling Stones,Time Is on My Side
The Ronettes,Be My Baby
Roxy Music,Love Is the Drug
Run-D.M.C.,Walk This Way
Rush,The Spirit of Radio
Otis Rush,I Can't Quit You Baby
Mitch Ryder and the Detroit Wheels,Devil With a Blue Dress On/Good Golly Miss Molly
Sam and Dave,Soul Man
Sam the Sham and the Pharoahs,Wooly Bully
Santana,Black Magic Woman/Gypsy Queen
The Searchers,Needles and Pins
The Seeds,Pushin' Too Hard
Pete Seeger,Where Have All the Flowers Gone
Bob Seger and the Silver Bullet Band,Night Moves
Sex Pistols,Anarchy in the U.K.
Sex Pistols,God Save the Queen
The Shadows of Knight,Gloria
The Shangri-Las,Leader of the Pack
Del Shannon,Runaway
Shirelles,Dedicated to the One I Love
Shirelles,Will You Love Me Tomorrow
Simon and Garfunkel,Bridge Over Troubled Water
Simon and Garfunkel,The Sounds of Silence
Paul Simon,Graceland
Sir Douglas Quintet,She's About a Mover
Sister Sledge,We Are Family
Percy Sledge,When a Man Loves a Woman
Sly and the Family Stone,Dance to the Music
Sly and the Family Stone,Thank You (Falettinme Be Mice Elf Agin)
Bessie Smith,Downhearted Blues
"Huey ""Piano"" Smith & His Clowns",Rockin' Pneumonia and the Boogie-Woogie Flu
Patti Smith,Gloria (in Excelsis Deo)
The Smiths,Heaven Knows I'm Miserable Now
Sonic Youth,Teenage Riot
The Soul Stirrers,By and By
Bruce Springsteen,Born to Run
Bruce Springsteen,Dancing in the Dark
Bruce Springsteen,Rosalita (Come Out Tonight)
The Standells,Dirty Water
The Staple Singers,Respect Yourself
Edwin Starr,War
Steely Dan,Reelin' in the Years
Steppenwolf,Born to Be Wild
Rod Stewart,Maggie May
Iggy and The Stooges,Search and Destroy
The Stooges,I Wanna Be Your Dog
Stray Cats,Rock This Town
Barrett Strong,Money (That's What I Want)
The Sugarhill Gang,Rapper's Delight
Donna Summer,Love to Love You Baby
The Supremes,Stop! In the Name of Love
The Supremes,You Can't Hurry Love
The Surfaris,Wipe Out
Swinging Blue Jeans,Hippy Hippy Shake
T. Rex,Bang a Gong (Get It On)
Talking Heads,Life During Wartime
Talking Heads,Once in a Lifetime
James Taylor,Fire and Rain
Television,Little Johnny Jewel
The Temptations,Ain't Too Proud to Beg
The Temptations,My Girl
The Temptations,Papa Was a Rollin' Stone
Sister Rosetta Tharpe,This Train
"Willie Mae ""Big Mama"" Thornton",Ball 'n' Chain
"Willie Mae ""Big Mama"" Thornton",Hound Dog
Toots and the Maytals,Pressure Drop
Peter Tosh,Legalize It
Traffic,Dear Mr. Fantasy
The Trammps,Disco Inferno
The Troggs,Wild Thing
Big Joe Turner,"Shake, Rattle and Roll"
Ike and Tina Turner,"River Deep, Mountain High"
The Turtles,It Ain't Me Babe
U.T.F.O.,"Roxanne, Roxanne"
U2,I Still Haven't Found What I'm Looking For
U2,Pride (In the Name of Love)
U2,Sunday Bloody Sunday
Ritchie Valens,La Bamba
Van Halen,Jump
Van Halen,Runnin' With the Devil
Stevie Ray Vaughan,Pride and Joy
Velvet Underground,Heroin
Velvet Underground,White Light/White Heat
The Ventures,Walk Don't Run
Gene Vincent and His Blue Caps,Be-Bop-a-Lula
The Wailers,Get Up Stand Up
The Wailers,I Shot the Sheriff
Jr. Walker and the All Stars,Shotgun
T-Bone Walker,Call It Stormy Monday
War,Slippin' Into Darkness
Clara Ward and the Ward Singers,How I Got Over
Dinah Washington,Am I Asking Too Much
Muddy Waters,Got My Mojo Working
Muddy Waters,Hoochie Coochie Man
Muddy Waters,Mannish Boy
Muddy Waters,Rollin' Stone
The Weavers,Goodnight Irene
Mary Wells,My Guy
The Who,Baba O'Riley
The Who,Go to the Mirror Boy
The Who,My Generation
Big Joe Williams,Baby Please Don't Go
Larry Williams,Bony Maronie
Marion Williams,Packing Up
Sonny Boy (John Lee) Williamson,Good Morning (Little) School Girl
Chuck Willis,C. C. Rider
Bob Wills and His Texas Playboys,Take Me Back to Tulsa
Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher
Stevie Wonder,Living for the City
Stevie Wonder,Master Blaster (Jammin')
Stevie Wonder,Superstition
Stevie Wonder,Uptight (Everything's Alright)
Link Wray,Rumble
X,Los Angeles
Jimmy Yancey,Midnight Stomp
The Yardbirds,Shapes of Things
Yes,Roundabout
Neil Young,Down by the River
Neil Young,Heart of Gold
Neil Young,My My Hey Hey (Out of the Blue)
ZZ Top,Legs
